	Line 1A (Reference Step: 0)
Step No.	Gauge Strain / Eng. Line Strain
	Strain/ustrain
0	0
1	7.51019
2	7.03335
3	1.54972
4	7.86781
5	16.0933
6	6.91414
7	-6.02007
8	0.476837
9	-4.11272
10	5.84126
11	5.96046
12	7.86781
13	-8.46386
14	-0.238419
15	0.715256
16	0.119209
17	-7.27177
18	-0.238419
19	3.57628
20	24.3187
21	-17.2257
22	12.8746
23	16.8085
24	8.34465
25	17.7622
26	-6.55651
27	0.834465
28	13.2322
29	-10.1328
30	5.60284
31	-2.44379
32	-2.08616
33	15.8548
34	6.67572
35	36.3588
36	34.2131
37	55.0747
38	86.5459
39	23.7226
40	95.7251
41	79.0358
42	95.129
43	119.09
44	135.541
45	140.309
46	157.237
47	154.376
48	178.814
49	150.085
50	189.304
51	196.576
52	197.53
53	210.762
54	220.418
55	237.107
56	253.32
57	244.975
58	261.784
59	270.486
60	281.811
61	271.082
62	304.103
63	296.474
64	293.374
65	292.301
66	315.666
67	311.255
68	276.446
69	314.116
70	305.533
71	281.692
72	298.023
73	293.97
74	300.407
75	298.023
76	309.467
77	283.957
78	287.771
79	283.599
80	303.388
81	291.586
82	301.719
83	296.235
84	289.559
85	295.997
86	321.865
87	307.798
88	318.646
89	287.533
90	286.937
91	278.831
92	294.328
93	315.07
94	275.135
95	310.302
96	320.315
97	308.275
98	336.885
99	365.734
100	363.827
101	387.907
102	380.635
103	402.451
104	402.212
105	412.941
106	444.055
107	450.85
108	444.531
109	470.877
110	479.341
111	503.898
112	491.023
113	506.639
114	515.223
115	519.991
116	549.674
117	571.489
118	569.94
119	557.78
120	584.364
121	595.212
122	628.71
123	611.544
124	633.478
125	648.737
126	615.239
127	629.067
128	614.047
129	607.848
130	617.027
131	619.292
132	617.623
133	628.471
134	606.656
135	619.411
136	628.829
137	628.829
138	610.59
139	605.941
140	599.027
141	597.477
142	602.722
143	628.471
144	620.365
145	628.829
146	617.385
147	630.14
148	617.027
149	628.829
150	632.882
151	612.855
152	602.484
153	619.888
154	618.458
155	645.041
156	626.564
157	656.486
158	623.584
159	676.513
160	683.546
161	681.877
162	701.427
163	727.057
164	732.303
165	742.078
166	733.614
167	750.78
168	782.609
169	774.264
170	795.722
171	791.907
172	821.71
173	810.981
174	839.949
175	856.876
176	872.493
177	869.155
178	879.645
179	900.865
180	908.136
181	924.587
182	904.679
183	906.706
184	930.905
185	966.668
186	976.443
187	950.813
188	937.462
189	949.621
190	940.8
191	935.912
192	934.362
193	941.753
194	947.356
195	923.753
196	961.781
197	958.085
198	961.9
199	947.118
200	928.283
201	940.204
202	957.489
203	956.774
204	973.225
205	963.33
206	953.198
207	945.807
208	955.343
209	956.655
210	948.548
211	947.714
212	971.794
213	950.694
214	986.815
215	954.986
216	966.43
217	963.211
218	991.821
219	990.152
220	1021.03
221	1042.84
222	1019.84
223	1054.29
224	1059.77
225	1064.54
226	1090.88
227	1110.43
228	1124.86
229	1123.31
230	1121.52
231	1140.12
232	1150.97
233	1158.24
234	1188.64
235	1166.82
236	1208.66
237	1222.13
238	1235.01
239	1245.62
240	1253.13
241	1286.03
242	1285.67
243	1267.55
244	1283.76
245	1316.19
246	1310.35
247	1296.52
248	1306.3
249	1318.22
250	1326.56
251	1301.88
252	1303.32
253	1285.79
254	1285.08
255	1303.32
256	1354.81
257	1313.81
258	1310.47
259	1320.24
260	1300.22
261	1309.87
262	1329.78
263	1311.66
264	1325.01
265	1302.24
266	1315.47
267	1310.83
268	1322.75
269	1318.57
270	1298.07
271	1304.86
272	1335.02
273	1296.16
274	1333.83
275	1320.12
276	1317.26
277	1332.16
278	1326.56
279	1326.08
280	1349.57
281	1375.56
282	1387.24
283	1396.3
284	1399.52
285	1395.94
286	1416.44
287	1423
288	1428.6
289	1450.66
290	1485.59
291	1463.17
292	1467.82
293	1484.27
294	1513
295	1518.01
296	1523.26
297	1515.98
298	1558.18
299	1578.09
300	1548.17
301	1557.59
302	1580.6
303	1613.74
304	1594.42
305	1603.6
306	1627.21
307	1623.15
308	1624.94
309	1611.47
310	1631.74
311	1626.13
312	1602.05
313	1618.27
314	1615.52
315	1623.99
316	1612.66
317	1650.57
318	1650.69
319	1629.23
320	1623.75
321	1654.98
322	1626.85
323	1624.11
324	1653.31
325	1622.32
326	1635.19
327	1637.58
328	1636.03
329	1587.51
330	1608.85
331	1631.02
332	1621.96
333	1610.16
334	1642.94
335	1627.56
336	1621.72
337	1631.98
338	1649.02
339	1635.91
340	1635.31
341	1671.91
342	1669.76
343	1690.27
344	1709.34
345	1718.28
346	1715.3
347	1736.64
348	1747.73
349	1722.81
350	1769.78
351	1761.2
352	1776.93
353	1778.01
354	1798.03
355	1814.48
356	1815.56
357	1817.94
358	1814.96
359	1837.37
360	1850.84
361	1869.56
362	1868.25
363	1903.65
364	1881
365	1909.02
366	1912.24
367	1932.62
368	1926.06
369	1953.13
370	1951.81
371	1910.33
372	1925.11
373	1904.96
374	1921.06
375	1924.99
376	1950.26
377	1918.44
378	1927.49
379	1892.21
380	1969.34
381	1920.34
382	1931.43
383	1975.66
384	1944.42
385	1947.4
386	1931.55
387	1929.4
388	1936.44
389	1948.12
390	1927.73
391	1978.87
392	1967.79
393	1966.6
394	1966.83
395	1966.24
396	1948.48
397	1951.93
398	1922.37
399	1935.24
400	1959.56
401	1960.28
402	1964.57
403	1982.69
404	1978.87
405	1989.25
406	2015.47
407	2008.32
408	2030.02
409	2068.52
410	2028.94
411	2061.96
412	2064.82
413	2081.16
414	2097.01
415	2120.14
416	2112.51
417	2134.8
418	2154.59
419	2142.07
420	2159.83
421	2184.75
422	2213.12
423	2196.19
424	2161.62
425	2201.8
426	2227.31
427	2213
428	2265.45
429	2250.55
430	2271.89
431	2268.31
432	2207.4
433	2235.17
434	2252.22
435	2217.65
436	2255.08
437	2209.31
438	2257.94
439	2235.89
440	2251.03
441	2262.35
442	2228.86
443	2241.02
444	2257.11
445	2251.98
446	2255.32
447	2230.64
448	2239.35
449	2245.07
450	2257.7
451	2263.07
452	2238.99
453	2261.64
454	2217.53
455	2249.72
456	2251.15
457	2231.24
458	2258.9
459	2278.21
460	2238.04
461	2256.27
462	2235.05
463	2296.45
464	2295.37
465	2310.63
466	2323.03
467	2327.92
468	2332.21
469	2383.11
470	2353.67
471	2342.82
472	2366.9
473	2408.39
474	2398.49
475	2413.03
476	2409.94
477	2407.91
478	2435.56
479	2444.74
480	2458.45
481	2485.75
482	2500.77
483	2463.1
484	2533.67
485	2518.53
486	2537.61
487	2518.53
488	2572.54
489	2583.98
490	2566.1
491	2576.95
492	2568.24
493	2605.32
494	2552.39
495	2567.77
496	2595.9
497	2544.05
498	2529.38
499	2580.29
500	2532.48
501	2604.72
502	2573.13
503	2545.48
504	2567.77
505	2545.95
506	2544.05
507	2569.44
508	2596.38
509	2587.2
510	2576.95
511	2567.89
512	2569.08
513	2571.82
514	2567.41
515	2577.54
516	2578.14
517	2591.97
518	2515.55
519	2561.21
520	2571.7
521	2573.73
522	2565.86
523	2585.77
524	2619.5
525	2647.76
526	2628.21
527	2615.45
528	2652.76
529	2648.12
530	2713.92
531	2687.57
532	2731.2
533	2679.82
534	2734.9
535	2721.67
536	2746.11
537	2742.41
538	2756.36
539	2769.11
540	2772.09
541	2784.13
542	2790.93
543	2813.22
544	2807.97
545	2803.92
546	2860.43
547	2839.21
548	2900.84
549	2879.74
550	2882.96
551	2882.48
552	2890.71
553	2936.24
554	2873.78
555	2866.27
556	2872.35
557	2867.58
558	2877.71
559	2833.72
560	2879.14
561	2944.11
562	2878.19
563	2877.83
564	2865.31
565	2931.71
566	2907.4
567	2862.57
568	2867.1
569	2868.18
570	2885.1
571	2935.77
572	2901.43
573	2871.99
574	2874.73
575	2863.88
576	2892.26
577	2915.5
578	2875.69
579	2883.55
580	2931.24
581	2869.37
582	2864.84
583	2930.4
584	2918.6
585	2967
586	2952.69
587	2991.8
588	2865.91
589	2952.22
590	2949.83
591	2945.9
592	2932.19
593	2919.2
594	2866.86
595	2951.74
596	2948.52
597	2954.13
598	2859.23
599	2959.97
600	2902.98
601	2955.32
602	2944.11
603	2952.34
604	2967.36
605	2943.16
606	2956.51
607	2951.86
608	2953.77
609	2962.59
610	2943.75
611	2926.59
612	2929.57
613	3010.03
614	2881.41
615	2932.67
616	2940.65
